,len,cnt_alpha,cnt_nonAlpha,alpha_to_special,cnt_vowel,cnt_consonant,vowel_to_consonant,entropy,entropy_ideal,emtropy_percentage,fleschkincaid,smog,dalechall,gunningfog,sybl,hex,valid
18,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,637a6172,True
19,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,44616c65,True
20,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,52656e65,True
21,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,64617368,True
22,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,44656570,True
23,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53444143,True
24,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,53434949,True
25,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,73617773,True
26,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53617068,True
27,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,53415645,True
28,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53656d69,True
29,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53656972,True
30,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,5345454e,True
31,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,73656173,True
32,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53656373,True
33,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,73656373,True
34,4,4,0,1.0,0,4,0.0,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,52535473,True
35,4,4,0,1.0,0,4,0.0,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,5250436e,True
36,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,434f5059,True
37,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,726f6f74,True
38,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,526f7368,True
39,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,72756273,True
40,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,7361696c,True
41,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,5361636b,True
42,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,72756c65,True
43,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,72756465,True
44,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,52555454,True
45,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,446f6567,True
46,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,646f6773,True
47,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,646f6f72,True
48,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,444f574e,True
49,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,50657465,True
50,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,44524157,True
51,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,706c6f79,True
52,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,706c6578,True
53,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,706c616e,True
54,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,646c6564,True
55,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,70697373,True
56,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,65617374,True
57,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,65617473,True
58,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,45434150,True
59,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,45646974,True
60,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,45435342,True
61,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,45646172,True
62,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,70656e73,True
63,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,6475616c,True
64,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,64756d62,True
65,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,70617773,True
66,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,7065616b,True
67,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,44495350,True
68,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,7261696e,True
69,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,52414454,True
70,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,50555444,True
71,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,44454c4f,True
72,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,52616361,True
73,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,5245414c,True
74,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,72656164,True
75,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,52444441,True
76,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,52414e4c,True
77,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,72617465,True
78,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,50757368,True
79,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,64697363,True
80,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,706f7572,True
81,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,504f5254,True
82,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,706f6c6c,True
83,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,706f7073,True
84,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,70726f6a,True
85,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,6469616c,True
86,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,50757265,True
87,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,64696e65,True
88,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,50726f63,True
89,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4449434b,True
90,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,62697264,True
91,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,42697473,True
92,4,3,1,0.75,0,3,0.0,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,743c4352,True
93,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,626c6f77,True
94,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,626c6577,True
95,4,4,0,1.0,0,4,0.0,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,426c7664,True
96,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,42455441,True
97,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,7468616e,True
98,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,54657374,True
99,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,62696173,True
100,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,74657273,True
101,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,626f7773,True
102,4,4,0,1.0,0,4,0.0,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,73796e63,True
103,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,73776170,True
104,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,73756974,True
105,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53554e59,True
106,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,73756e6b,True
107,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,626f6479,True
108,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,426f6c64,True
109,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,74616c65,True
110,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,626f726e,True
111,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,426f6f6b,True
112,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,7468656e,True
113,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,546f6c61,True
114,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,42617365,True
115,4,4,0,1.0,0,4,0.0,0.8112781244591328,2.0,0.4056390622295664,-3.3999999999999986,3.1291,19.4761,0.4,1,42424e42,True
116,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,54495073,True
117,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,62617468,True
118,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,4261616c,True
119,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6261636b,True
120,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,62616b65,True
121,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,546f6f6b,True
122,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,62616e64,True
123,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,5468656d,True
124,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,54686f75,True
125,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,74686b65,True
126,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,42454c56,True
127,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,42656f72,True
128,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,7468696e,True
129,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,54696e67,True
130,4,2,2,0.5,0,2,0.0,1.5,2.0,0.75,-3.01,3.1291,19.5257,0.8,2,422d2d43,True
131,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,4245414d,True
132,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,7469616c,True
133,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,74696564,True
134,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,62656473,True
135,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,534b4950,True
136,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,534a494e,True
137,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,434c5345,True
138,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,73697465,True
139,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,73697468,True
140,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,736c6970,True
141,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,43686f75,True
142,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4368756e,True
143,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,736c6f74,True
144,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,636c6164,True
145,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,534d4f47,True
146,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,73686f77,True
147,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53686f61,True
148,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,5368656d,True
149,4,3,1,0.75,1,2,0.3333333333333333,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53452850,True
150,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,73657473,True
151,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,73697273,True
152,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,434f494e,True
153,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,73696e67,True
154,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,436f6d65,True
155,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,73696768,True
156,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,636f6d6d,True
157,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,63616d70,True
158,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53544f52,True
159,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,43415244,True
160,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,63617374,True
161,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,63617365,True
162,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,43617365,True
163,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6275726e,True
164,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,42757373,True
165,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,62797465,True
166,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53545255,True
167,4,2,2,0.5,1,1,0.5,2.0,2.0,1.0,-3.01,3.1291,11.6307,0.8,2,432d3e41,True
168,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,63617465,True
169,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,53504543,True
170,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,736f776e,True
171,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,536f6d65,True
172,4,4,0,1.0,2,2,0.5,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,536f6f6e,True
173,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4368656e,True
174,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,5374616e,True
175,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,73746172,True
176,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,53746172,True
177,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,7370756e,True
178,4,4,0,1.0,0,4,0.0,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,53525652,True
179,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,63657373,True
180,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6c696665,True
181,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6c696564,True
182,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,48617264,True
183,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,68617270,True
184,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4c465550,True
185,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,4c696b65,True
186,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6861696c,True
187,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,48414c46,True
188,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6c696d62,True
189,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4c494e43,True
190,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,0.0496,0.4,1,48616c6c,True
191,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6c65616e,True
192,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,68656172,True
193,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,4c617773,True
194,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,68656c70,True
195,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,68656c64,True
196,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,48656164,True
197,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,68617368,True
198,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,48415350,True
199,4,4,0,1.0,1,3,0.25,1.5,2.0,0.75,-3.3999999999999986,3.1291,19.4761,0.4,1,68617468,True
200,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,68656164,True
201,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,4c454654,True
202,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,6c75726b,True
203,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4c756379,True
204,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6769726c,True
205,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,676c7565,True
206,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6c6f7564,True
207,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6c6f7473,True
208,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,4d414b45,True
209,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,4d41494e,True
210,4,4,0,1.0,1,3,0.25,2.0,2.0,1.0,-3.3999999999999986,3.1291,19.4761,0.4,1,47434f53,True
211,4,4,0,1.0,2,2,0.5,2.0,2.0,1.0,-3.3999999999999986,3.1291,0.0496,0.4,1,6d616465,True
